月份,發生地點,死亡人數,存活人數,車種,經度,緯度
02月 ,Kaohsiung,1,4,營業用-曳引車;消防車-特種車;乘客-人;乘客-人;乘客-人;乘客-人,120.358787,22.590467
02月 ,Taipei,1,0,普通重型-機車;自用-小貨車,121.573208,25.040984
02月 ,Taoyuan,1,0,普通重型-機車;營業用-曳引車,121.239519,24.965301
02月 ,Taoyuan,1,2,普通重型-機車;自用-小貨車;電動輔助自行車-慢車;自用-小客車;乘客-人,121.283838,24.90032
02月 ,Kaohsiung,1,1,普通重型-機車;腳踏自行車-慢車,120.338609,22.735928
02月 ,Changhua,1,1,行人-人;普通重型-機車,120.550226,23.870618
02月 ,Changhua,1,0,普通重型-機車,120.515577,23.929528
02月 ,Taichung,1,4,計程車-小客車;普通重型-機車;乘客-人;乘客-人;乘客-人,120.6341,24.1582
02月 ,Hsinchu,1,1,普通重型-機車;大型重型-機車,121.125485,24.725067
02月 ,Kaohsiung,1,0,普通重型-機車;自用-小貨車,120.5538,22.88563
02月 ,Taichung,1,0,營業用-半聯結車;普通重型-機車,120.510923,24.229581
02月 ,Kaohsiung,1,1,自用-小客車;普通重型-機車;乘客-人,120.428613,22.566091
02月 ,Taichung,1,0,自用-小貨車,120.556751,24.128175
02月 ,Tainan,1,0,普通重型-機車,120.205043,23.108097
02月 ,Kaohsiung,1,0,普通重型-機車,120.2776,22.81389
02月 ,Taichung,1,0,普通重型-機車;營業用-半聯結車,120.687567,24.141523
02月 ,Chiayi,1,0,普通重型-機車;自用-小客車,120.426237,23.478666
02月 ,Changhua,1,0,自用-大貨車;普通重型-機車;自用-小客車,120.405571,23.884739
02月 ,Hsinchu,1,1,普通重型-機車;自用-小客車,121.009783,24.897133
02月 ,Taichung,1,0,自用-小客車,120.641658,24.286763
02月 ,Hualien,1,0,電動自行車-慢車;自用-小客車,121.622419,24.107646
02月 ,Taipei,1,1,普通重型-機車;普通重型-機車,121.363383,24.91885
02月 ,Chiayi,1,0,營業用-曳引車,120.426228,23.550129
02月 ,Taitung,1,1,普通重型-機車;自用-小貨車;普通重型-機車;乘客-人,121.045901,22.688899
02月 ,Hualien,1,0,普通重型-機車;自用-小客車,121.311729,23.313432
02月 ,Hualien,1,0,普通重型-機車;自用-小貨車,121.353384,23.455916
02月 ,Taoyuan,2,0,自用-小客車;自用-小貨車;乘客-人;乘客-人,121.107498,24.926314
02月 ,Pingtung,1,0,腳踏自行車-慢車;自用-小貨車,120.481392,22.689629
02月 ,Tainan,1,0,普通重型-機車;營業用-大貨車,120.258159,23.224577
02月 ,Kaohsiung,1,1,自用-小客車;行人-人;乘客-人,120.309769,22.825539
02月 ,Taichung,1,0,普通重型-機車;自用-大貨車,120.61864,24.103373
02月 ,Pingtung,1,0,普通重型-機車,120.493165,22.706139
02月 ,Yilan,1,0,自用-小客車;普通重型-機車,121.759145,24.778216
02月 ,Tainan,1,0,普通重型-機車,120.270262,22.948743
